"Player","$ Value","Team","Pos","PYard","PTD","Int","RuYard","RuTD","Rec","ReYard","ReTD"
"James Cook","17","BUF","RB","'-","'-","'-","1,494","10","35","271","1"
"Ashton Jeanty","16","LV","RB","'-","'-","'-","1,071","7","58","417","3"
"Zay Flowers","15","BAL","WR","'-","'-","'-","57","'-","84","1,196","6"
"Derrick Henry","14","BAL","RB","'-","'-","'-","1,502","13","16","182","1"
"Dak Prescott","13","DAL","QB","4,034","30","11","176","1","'-","'-","'-"
"Garrett Wilson","12","NYJ","WR","'-","'-","'-","4","'-","90","1,161","6"
"Kenneth Walker III","11","KC","RB","'-","'-","'-","1,103","8","42","322","1"
"Colston Loveland","10","CHI","TE","'-","'-","'-","'-","'-","76","872","7"
"Tetairoa McMillan","9","CAR","WR","'-","'-","'-","'-","'-","73","1,076","6"
"Davante Adams","9","LAR","WR","'-","'-","'-","'-","'-","72","951","10"
"Chase Brown","9","CIN","RB","'-","'-","'-","1,071","7","61","434","3"
"Emeka Egbuka","9","TB","WR","'-","'-","'-","6","'-","74","1,153","7"
"Justin Herbert","9","LAC","QB","4,117","27","11","475","2","'-","'-","'-"
"Omarion Hampton","9","LAC","RB","'-","'-","'-","1,080","9","51","362","1"
"Jeremiyah Love","9","ARI","RB","'-","'-","'-","999","7","53","410","2"
"Ladd McConkey","9","LAC","WR","'-","'-","'-","'-","'-","72","955","6"
"Jameson Williams","9","DET","WR","'-","'-","'-","39","'-","67","1,083","6"
"Kyren Williams","9","LAR","RB","'-","'-","'-","1,085","10","31","231","2"
"D.J. Moore","9","BUF","WR","'-","'-","'-","52","'-","69","836","7"
"Tyler Warren","9","IND","TE","'-","'-","'-","'-","'-","83","851","5"
"Christian Watson","8","GB","WR","'-","'-","'-","8","'-","54","881","7"
"Rome Odunze","8","CHI","WR","'-","'-","'-","1","'-","66","1,014","7"
"Cam Skattebo","8","NYG","RB","'-","'-","'-","1,071","8","45","364","2"
"Josh Jacobs","8","GB","RB","'-","'-","'-","1,187","11","34","271","1"
"Jaxson Dart","8","NYG","QB","3,838","23","10","535","6","'-","'-","'-"
"Javonte Williams","8","DAL","RB","'-","'-","'-","1,116","10","33","187","1"
"Terry McLaurin","8","WSH","WR","'-","'-","'-","'-","'-","71","1,033","7"
"Breece Hall","8","NYJ","RB","'-","'-","'-","1,098","6","48","435","2"
"Jaylen Waddle","8","DEN","WR","'-","'-","'-","13","'-","79","1,023","6"
"Caleb Williams","8","CHI","QB","3,895","27","9","396","2","'-","'-","'-"
"Luther Burden III","8","CHI","WR","'-","'-","'-","36","'-","71","941","5"
"D'Andre Swift","8","CHI","RB","'-","'-","'-","1,032","7","35","287","2"
"Harold Fannin Jr.","8","CLE","TE","'-","'-","'-","'-","'-","78","845","5"
"Alec Pierce","8","IND","WR","'-","'-","'-","'-","'-","61","979","6"
"Kyle Pitts","8","ATL","TE","'-","'-","'-","'-","'-","85","863","4"
"Brock Purdy","8","SF","QB","4,351","26","15","312","4","'-","'-","'-"
"Marvin Harrison Jr.","8","ARI","WR","'-","'-","'-","'-","'-","66","971","6"
"Tucker Kraft","8","GB","TE","'-","'-","'-","'-","'-","58","749","6"
"Courtland Sutton","8","DEN","WR","'-","'-","'-","'-","'-","68","939","7"
"Sam LaPorta","8","DET","TE","'-","'-","'-","'-","'-","73","848","5"
"Mike Evans","8","SF","WR","'-","'-","'-","'-","'-","70","936","7"
"Mark Andrews","7","BAL","TE","'-","'-","'-","'-","'-","55","600","7"
"Brian Thomas Jr.","7","JAX","WR","'-","'-","'-","17","'-","58","855","5"
"Dalton Kincaid","7","BUF","TE","'-","'-","'-","'-","'-","57","701","5"
"Wan'Dale Robinson","7","TEN","WR","'-","'-","'-","9","'-","83","790","3"
"Michael Wilson","7","ARI","WR","'-","'-","'-","'-","'-","63","838","4"
"Michael Pittman Jr.","7","PIT","WR","'-","'-","'-","'-","'-","77","759","4"
"Bucky Irving","7","TB","RB","'-","'-","'-","1,072","6","38","317","2"
"Trevor Lawrence","7","JAX","QB","3,845","24","13","337","4","'-","'-","'-"
"Parker Washington","7","JAX","WR","'-","'-","'-","13","'-","63","795","5"
"Carnell Tate","7","TEN","WR","'-","'-","'-","2","'-","62","923","4"
"George Kittle","7","SF","TE","'-","'-","'-","'-","'-","65","703","5"
"Jared Goff","7","DET","QB","4,236","32","9","44","'-","'-","'-","'-"
"Quinshon Judkins","7","CLE","RB","'-","'-","'-","1,113","7","32","221","2"
"Travis Etienne","7","NO","RB","'-","'-","'-","1,013","5","46","342","3"
"Matthew Stafford","7","LAR","QB","4,295","34","8","31","'-","'-","'-","'-"
"Patrick Mahomes","7","KC","QB","3,765","26","12","356","3","'-","'-","'-"
"Dallas Goedert","7","PHI","TE","'-","'-","'-","'-","'-","66","661","7"
"D.K. Metcalf","7","PIT","WR","'-","'-","'-","3","'-","64","886","6"
"Jake Ferguson","7","DAL","TE","'-","'-","'-","'-","'-","50","563","5"
"Travis Kelce","7","KC","TE","'-","'-","'-","'-","'-","79","811","4"
"Chris Godwin","7","TB","WR","'-","'-","'-","'-","'-","72","805","5"
"Jordyn Tyson","7","NO","WR","'-","'-","'-","3","'-","60","822","4"
"Isaiah Likely","7","NYG","TE","'-","'-","'-","'-","'-","59","796","5"
"Brenton Strange","7","JAX","TE","'-","'-","'-","'-","'-","61","691","4"
"Jordan Addison","7","MIN","WR","'-","'-","'-","37","'-","58","765","5"
"Xavier Worthy","7","KC","WR","'-","'-","'-","98","'-","56","770","4"
"","7","","","'-","'-","'-","'-","'-","'-","'-","'-"
"Jayden Reed","7","GB","WR","'-","'-","'-","91","'-","64","776","4"
"Jordan Love","7","GB","QB","3,891","24","10","183","2","'-","'-","'-"
"Quentin Johnston","7","LAC","WR","'-","'-","'-","5","'-","57","767","7"
"Juwan Johnson","7","NO","TE","'-","'-","'-","'-","'-","60","763","3"
"Josh Downs","7","IND","WR","'-","'-","'-","4","'-","71","692","4"
"Bo Nix","7","DEN","QB","3,857","26","10","357","3","'-","'-","'-"
"TreVeyon Henderson","7","NE","RB","'-","'-","'-","879","7","36","275","1"
"Romeo Doubs","7","NE","WR","'-","'-","'-","'-","'-","58","720","5"
"David Montgomery","7","HOU","RB","'-","'-","'-","930","6","32","223","2"
"Tyler Shough","7","NO","QB","3,911","23","11","319","3","'-","'-","'-"
"Bhayshul Tuten","7","JAX","RB","'-","'-","'-","987","8","28","209","2"
"Makai Lemon","7","PHI","WR","'-","'-","'-","7","'-","60","852","4"
"Jakobi Meyers","7","JAX","WR","'-","'-","'-","21","'-","71","845","4"
"Khalil Shakir","7","BUF","WR","'-","'-","'-","5","'-","68","778","3"
"Greg Dulcich","6","MIA","TE","'-","'-","'-","'-","'-","54","590","3"
"Rashid Shaheed","6","SEA","WR","'-","'-","'-","86","'-","51","718","3"
"Terrance Ferguson","6","LAR","TE","'-","'-","'-","'-","'-","37","500","4"
"J.K. Dobbins","6","DEN","RB","'-","'-","'-","949","6","17","98","'-"
"Jalen Coker","6","CAR","WR","'-","'-","'-","'-","'-","58","705","4"
"AJ Barner","6","SEA","TE","'-","'-","'-","'-","'-","45","460","4"
"Jerry Jeudy","6","CLE","WR","'-","'-","'-","2","'-","51","700","2"
"Chuba Hubbard","6","CAR","RB","'-","'-","'-","865","5","36","278","1"
"Jaylen Warren","6","PIT","RB","'-","'-","'-","867","4","40","333","1"
"Calvin Ridley","6","TEN","WR","'-","'-","'-","28","'-","48","832","3"
"Oronde Gadsden II","6","LAC","TE","'-","'-","'-","'-","'-","41","576","3"
"Tony Pollard","6","TEN","RB","'-","'-","'-","1,031","5","31","222","2"
"Matthew Golden","6","GB","WR","'-","'-","'-","39","'-","57","757","3"
"Chigoziem Okonkwo","6","WSH","TE","'-","'-","'-","'-","'-","51","579","2"
"Kenyon Sadiq","6","NYJ","TE","'-","'-","'-","'-","'-","49","543","4"
"Rico Dowdle","6","PIT","RB","'-","'-","'-","933","6","33","209","1"
"T.J. Hockenson","6","MIN","TE","'-","'-","'-","'-","'-","61","543","3"
"Dalton Schultz","6","HOU","TE","'-","'-","'-","'-","'-","62","594","3"
"Jadarian Price","6","SEA","RB","'-","'-","'-","969","7","27","230","1"
"Hunter Henry","6","NE","TE","'-","'-","'-","'-","'-","55","609","5"
"Theo Wease Jr.","6","MIA","WR","'-","'-","'-","8","'-","49","718","5"
"Pat Freiermuth","6","PIT","TE","'-","'-","'-","'-","'-","51","569","4"
"KC Concepcion","6","CLE","WR","'-","'-","'-","23","'-","58","649","3"
"Cade Otton","6","TB","TE","'-","'-","'-","'-","'-","52","550","2"
"Rashod Bateman","6","BAL","WR","'-","'-","'-","'-","'-","39","561","5"
"Malik Willis","6","MIA","QB","3,158","16","11","618","4","'-","'-","'-"
"Jalen McMillan","6","TB","WR","'-","'-","'-","28","'-","47","590","3"
"Jayden Higgins","6","HOU","WR","'-","'-","'-","'-","'-","49","606","4"
"Michael Mayer","6","LV","TE","'-","'-","'-","'-","'-","42","398","2"
"Jalen Nailor","6","LV","WR","'-","'-","'-","8","'-","44","555","4"
"Aaron Jones","6","MIN","RB","'-","'-","'-","669","3","39","294","1"
"Colby Parkinson","6","LAR","TE","'-","'-","'-","'-","'-","33","354","3"
"Rachaad White","6","WSH","RB","'-","'-","'-","593","5","37","255","1"
"Mason Taylor","6","NYJ","TE","'-","'-","'-","'-","'-","44","368","2"
"Evan Engram","6","DEN","TE","'-","'-","'-","'-","'-","49","475","2"
"Jauan Jennings","6","MIN","WR","'-","'-","'-","'-","'-","49","583","4"
"Baker Mayfield","6","TB","QB","4,035","25","11","364","1","'-","'-","'-"
"David Njoku","6","LAC","TE","'-","'-","'-","'-","'-","32","310","3"
"Kyle Monangai","6","CHI","RB","'-","'-","'-","820","5","23","203","2"
"Gunnar Helm","6","TEN","TE","'-","'-","'-","'-","'-","46","454","3"
"Mike Gesicki","6","CIN","TE","'-","'-","'-","'-","'-","42","481","3"
"Kyler Murray","6","MIN","QB","3,295","23","14","491","3","'-","'-","'-"
"John Metchie","6","CAR","WR","'-","'-","'-","'-","'-","68","586","6"
"Tank Dell","6","HOU","WR","'-","'-","'-","45","'-","48","603","3"
"Tre Tucker","6","LV","WR","'-","'-","'-","53","'-","47","654","3"
"RJ Harvey","6","DEN","RB","'-","'-","'-","501","4","49","355","3"
"Rhamondre Stevenson","6","NE","RB","'-","'-","'-","698","6","38","329","1"
"Jacory Croskey-Merritt","5","WSH","RB","'-","'-","'-","782","7","11","80","'-"
"C.J. Stroud","5","HOU","QB","3,712","24","11","255","1","'-","'-","'-"
"Kenneth Gainwell","5","TB","RB","'-","'-","'-","471","3","48","355","1"
"Sam Darnold","5","SEA","QB","4,219","29","12","124","1","'-","'-","'-"
"Jonathon Brooks","5","CAR","RB","'-","'-","'-","692","4","24","212","1"
"Jordan Mason","5","MIN","RB","'-","'-","'-","878","5","15","77","'-"
"Zach Charbonnet","5","SEA","RB","'-","'-","'-","539","5","19","151","1"
"Blake Corum","5","LAR","RB","'-","'-","'-","827","6","12","78","'-"
"Bryce Young","4","CAR","QB","3,488","22","12","275","3","'-","'-","'-"
"Daniel Jones","4","IND","QB","3,619","22","11","258","4","'-","'-","'-"
"New England Patriots D/ST","1","NE","DST","'-","'-","'-","'-","'-","'-","'-","'-"
"Tyler Loop","1","BAL","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Cameron Dicker","1","LAC","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Ka'imi Fairbairn","1","HOU","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Cam Little","1","JAX","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Houston Texans D/ST","1","HOU","DST","'-","'-","'-","'-","'-","'-","'-","'-"
"Jason Myers","1","SEA","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Seattle Seahawks D/ST","1","SEA","DST","'-","'-","'-","'-","'-","'-","'-","'-"
"Brandon Aubrey","1","DAL","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Cleveland Browns D/ST","1","CLE","DST","'-","'-","'-","'-","'-","'-","'-","'-"
"Denver Broncos D/ST","1","DEN","DST","'-","'-","'-","'-","'-","'-","'-","'-"
"Baltimore Ravens D/ST","1","BAL","DST","'-","'-","'-","'-","'-","'-","'-","'-"
"Detroit Lions D/ST","1","DET","DST","'-","'-","'-","'-","'-","'-","'-","'-"
"Pittsburgh Steelers D/ST","1","PIT","DST","'-","'-","'-","'-","'-","'-","'-","'-"
"Tyler Bass","1","BUF","K","'-","'-","'-","'-","'-","'-","'-","'-"
"New Orleans Saints D/ST","1","NO","DST","'-","'-","'-","'-","'-","'-","'-","'-"
"Minnesota Vikings D/ST","1","MIN","DST","'-","'-","'-","'-","'-","'-","'-","'-"
"Evan McPherson","1","CIN","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Chase McLaughlin","1","TB","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Jake Bates","1","DET","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Eddy Pineiro","1","SF","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Philadelphia Eagles D/ST","1","PHI","DST","'-","'-","'-","'-","'-","'-","'-","'-"
"Blake Grupe","1","IND","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Los Angeles Rams D/ST","1","LAR","DST","'-","'-","'-","'-","'-","'-","'-","'-"
"Ja'Tavion Sanders","0","CAR","TE","'-","'-","'-","'-","'-","31","265","1"
"Will Reichard","0","MIN","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Nick Folk","0","ATL","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Jason Sanders","0","NYJ","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Tyrone Tracy Jr.","0","NYG","RB","'-","'-","'-","503","2","28","196","1"
"Buffalo Bills D/ST","0","BUF","DST","'-","'-","'-","'-","'-","'-","'-","'-"
"Zane Gonzalez","0","MIA","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Cairo Santos","0","CHI","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Theo Johnson","0","NYG","TE","'-","'-","'-","'-","'-","26","303","2"
"Woody Marks","0","HOU","RB","'-","'-","'-","575","2","22","206","1"
"Alvin Kamara","0","NO","RB","'-","'-","'-","518","2","34","260","1"
"Darnell Washington","0","PIT","TE","'-","'-","'-","'-","'-","30","329","2"
"Geno Smith","0","NYJ","QB","3,431","22","15","195","1","'-","'-","'-"
"Tyler Higbee","0","LAR","TE","'-","'-","'-","'-","'-","26","296","2"
"Harrison Mevis","0","LAR","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Harrison Butker","0","KC","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Charlie Smyth","0","NO","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Denzel Boston","0","CLE","WR","'-","'-","'-","5","'-","50","621","2"
"Dawson Knox","0","BUF","TE","'-","'-","'-","'-","'-","27","337","2"
"Tyjae Spears","0","TEN","RB","'-","'-","'-","367","2","45","294","1"
"Cooper Kupp","0","SEA","WR","'-","'-","'-","1","'-","44","563","3"
"Cam Ward","0","TEN","QB","3,795","19","9","193","1","'-","'-","'-"
"Isiah Pacheco","0","DET","RB","'-","'-","'-","583","3","22","135","1"
"Wil Lutz","0","DEN","K","'-","'-","'-","'-","'-","'-","'-","'-"
"Tommy Tremble","0","CAR","TE","'-","'-","'-","'-","'-","26","265","1"
"Antonio Williams","0","WSH","WR","'-","'-","'-","19","'-","41","636","3"
"Aaron Rodgers","0","PIT","QB","3,576","23","8","83","'-","'-","'-","'-"
"Tory Horton","0","SEA","WR","'-","'-","'-","3","'-","27","413","4"
"Darnell Mooney","0","NYG","WR","'-","'-","'-","5","'-","35","492","2"
"Ty Johnson","0","BUF","RB","'-","'-","'-","206","1","23","256","2"
"Bub Means","0","NO","WR","'-","'-","'-","6","'-","35","507","2"
"Malik Washington","0","MIA","WR","'-","'-","'-","77","'-","44","401","2"
"Darius Slayton","0","NYG","WR","'-","'-","'-","8","'-","35","496","2"
"Omar Cooper Jr.","0","NYJ","WR","'-","'-","'-","12","'-","43","552","3"
"AJ Dillon","0","CAR","RB","'-","'-","'-","489","2","16","137","1"
"Brian Robinson","0","ATL","RB","'-","'-","'-","590","4","6","41","'-"
"Dylan Sampson","0","CLE","RB","'-","'-","'-","262","1","36","264","2"
"Jordan James","0","SF","RB","'-","'-","'-","417","3","15","151","1"
"Samaje Perine","0","CIN","RB","'-","'-","'-","460","3","16","136","1"
"Braelon Allen","0","NYJ","RB","'-","'-","'-","394","3","12","95","'-"
"Christian Kirk","0","SF","WR","'-","'-","'-","'-","'-","38","401","2"
"Germie Bernard","0","PIT","WR","'-","'-","'-","10","'-","44","539","3"
"Chris Rodriguez","0","JAX","RB","'-","'-","'-","514","4","5","44","'-"
"Jacoby Brissett","0","ARI","QB","3,431","19","11","216","1","'-","'-","'-"
"Green Bay Packers D/ST","0","GB","DST","'-","'-","'-","'-","'-","'-","'-","'-"
"Adonai Mitchell","0","NYJ","WR","'-","'-","'-","10","'-","43","601","3"
"Travis Hunter","0","JAX","WR","'-","'-","'-","10","'-","41","463","3"
"Tyler Allgeier","0","ARI","RB","'-","'-","'-","414","3","17","111","1"
"Cole Kmet","0","CHI","TE","'-","'-","'-","'-","'-","24","290","2"
"Justice Hill","0","BAL","RB","'-","'-","'-","283","2","33","312","1"

