,,,,,,,Expert Ranks,,,,,,Passing,,,Rushing,,,Receiving,,
18,Terry McLaurin,WAS,WR,7,62,177,51,53,54,72,33,62,0,0,0,0.9,3.9,0,78.7,990.5,6.3
18,Jameson Williams,DET,WR,6,63,182,60,45,51,80,49,86,0,0,0,9.9,50.9,0.4,66.9,1003,6.8
18,Davante Adams,LAR,WR,11,64,172,59,60,47,71,47,80,0,0,0,0,0,0,68.8,868.2,8.4
18,Mike Evans,SF,WR,8,65,178,56,54,53,53,50,87,0,0,0,0,0,0,69.6,923.2,8.5
18,Harold Fannin,CLE,TE,11,66,153,78,69,78,89,71,102,0,0,0,4.2,15.3,0.2,73.4,771.8,6.1
17,Rico Dowdle,PIT,RB,9,67,172,85,108,71,76,82,104,0,0,0,195.5,874.9,4.9,34.5,279.5,1.6
17,Christian Watson,GB,WR,11,68,171,57,51,49,73,51,76,0,0,0,2.2,11.7,0.1,60.9,942.1,7.5
16,Caleb Williams,CHI,QB,10,69,311,53,85,69,45,73,14,3845.2,27,9.8,81.4,444.4,2.5,0,0,0
16,Parker Washington,JAX,WR,7,70,168,62,58,50,59,70,79,0,0,0,7.9,24.1,0.2,68.6,894.6,5.8
16,Rhamondre Stevenson,NE,RB,11,71,162,76,71,73,77,80,92,0,0,0,174,764.7,6.4,29.9,239.8,1.3
15,Kyle Pitts,ATL,TE,11,72,140,79,74,77,48,101,109,0,0,0,0,0,0,67.8,791.1,4.6
15,Rome Odunze,CHI,WR,10,73,162,61,52,66,57,54,84,0,0,0,0.9,4.2,0,66.1,867.5,7
14,DJ Moore,BUF,WR,7,74,157,50,46,52,49,56,69,0,0,0,7.4,40.7,0.3,68.8,821.2,5.7
14,George Kittle,SF,TE,8,75,154,125,96,125,115,161,127,0,0,0,0,0,0,70.1,780.7,6.8
14,Dak Prescott,DAL,QB,14,76,304,70,98,88,70,76,21,4215.9,30.2,12,40.6,163.7,1.7,0,0,0
13,Tony Pollard,TEN,RB,9,77,158,83,84,76,111,65,103,0,0,0,182.5,857.9,5.7,27,190.8,1
13,Chuba Hubbard,CAR,RB,5,78,140,100,116,105,84,111,93,0,0,0,185.6,749.3,5.6,21.6,148,1
13,RJ Harvey,DEN,RB,10,79,136,107,83,112,109,98,125,0,0,0,108.9,411.4,4.6,41.3,334.7,2.2
11,Blake Corum,LAR,RB,11,80,147,92,80,91,112,81,117,0,0,0,189,909.9,5.9,13.1,86.5,0.9
11,Jonathon Brooks,CAR,RB,5,81,146,74,63,75,56,74,113,0,0,0,152.1,626.4,4.7,35.3,257.8,2
10,Jordan Mason,MIN,RB,6,82,158,102,104,107,78,95,130,0,0,0,177.6,889.8,6.8,18.3,130.1,1
10,Marvin Harrison,ARI,WR,14,83,151,71,70,67,79,68,78,0,0,0,0,0,0,60.1,870.3,5.7
10,Jacory Croskey-Merritt,WAS,RB,7,84,145,119,103,103,123,130,136,0,0,0,147.7,659.6,6.6,20.7,204.8,1.5
10,Justin Herbert,LAC,QB,7,85,296,67,86,68,67,103,15,3834.3,25.2,10.6,70.6,333.8,3.3,0,0,0
9,J.K. Dobbins,DEN,RB,10,86,146,109,82,90,132,97,129,0,0,0,165.4,796.2,6.4,20,124.9,0.8
8,DK Metcalf,PIT,WR,9,87,154,81,78,83,96,67,106,0,0,0,3.3,15.4,0.2,58.8,844.1,6.3
8,Brian Thomas,JAX,WR,7,88,148,77,59,81,58,85,119,0,0,0,3.3,18.3,0.2,61.7,849.4,4.9
8,Trevor Lawrence,JAX,QB,7,89,303,69,95,70,69,102,16,3829.9,24.1,12.6,73.2,335,5.4,0,0,0
8,Carnell Tate,TEN,WR,9,90,147,64,66,65,55,52,82,0,0,0,1.6,6.9,0.1,65.3,833.1,5
8,Dalton Kincaid,BUF,TE,7,91,134,124,119,124,119,124,126,0,0,0,0,0,0,65.2,716.1,5
7,Jaxson Dart,NYG,QB,8,92,299,84,112,89,81,127,30,3269,20.7,11.3,93.3,519.5,7.5,0,0,0
7,Aaron Jones,MIN,RB,6,93,151,121,140,115,110,112,128,0,0,0,154.3,698.1,4.9,32.9,250.4,1.7
7,Travis Kelce,KC,TE,5,94,140,123,124,128,105,123,132,0,0,0,0,0,0,71.2,741.5,5
7,Kyle Monangai,CHI,RB,10,95,131,112,114,136,83,84,124,0,0,0,150.5,710.6,4.8,17.2,159.9,1.2
6,Jayden Reed,GB,WR,11,96,169,91,89,84,98,86,118,0,0,0,15.5,108.6,0.8,72.2,798.1,6.3
0,Gunnar Helm,TEN,TE,9,97,111,200,199,202,184,192,201,0,0,0,0,0,0,57.9,536.1,4.7
6,Brock Purdy,SF,QB,8,98,300,82,109,87,101,105,33,4034.4,27.4,12.5,56.8,236.6,2.9,0,0,0
6,Kenny Gainwell,TB,RB,10,99,138,104,93,106,121,83,114,0,0,0,111.2,486.4,4,44.2,324,1.8
6,Rachaad White,WAS,RB,7,100,144,96,105,104,86,96,107,0,0,0,140.2,596.7,3.7,44.1,294.4,1.9
6,Michael Wilson,ARI,WR,14,101,145,93,79,95,120,72,120,0,0,0,0.8,3.6,0,65.5,818.4,5
6,Courtland Sutton,DEN,WR,10,102,146,98,94,98,126,90,98,0,0,0,0,0,0,63.4,823.9,5.4
5,Patrick Mahomes,KC,QB,5,103,292,94,129,111,90,121,36,4091.7,27.8,11.5,37,201.8,1.4,0,0,0
5,Alec Pierce,IND,WR,13,104,149,113,101,116,133,92,105,0,0,0,1.1,4.9,0,50.7,896.8,5.5
5,Bo Nix,DEN,QB,10,105,293,89,111,108,74,126,41,3702.7,25.9,12.8,71,328,3.6,0,0,0
4,Mark Andrews,BAL,TE,13,106,140,120,135,126,106,100,131,0,0,0,7.1,32.9,0.3,62.9,656.5,6.4
0,Matthew Stafford,LAR,QB,11,107,287,105,142,109,125,106,40,4032.2,31.7,12.9,27.5,61.3,0.9,0,0,0
4,Quentin Johnston,LAC,WR,7,108,150,86,72,82,102,88,99,0,0,0,3,11.9,0.1,58.9,777.2,6.8
4,Chris Godwin,TB,WR,10,109,146,90,64,85,128,94,90,0,0,0,0.8,4.2,0,75.2,810.1,4.5
4,Chris Rodriguez,JAX,RB,7,110,125,130,130,113,145,114,141,0,0,0,151.8,711.4,6.2,9.4,81.2,0.6
3,Jake Ferguson,DAL,TE,14,111,126,135,125,129,130,164,153,0,0,0,0,0,0,72.1,595.3,5.1
3,Michael Pittman,PIT,WR,9,112,142,95,92,97,129,89,91,0,0,0,1,5.5,0,73,781.5,4.5
3,Jordan Addison,MIN,WR,6,113,147,111,102,94,149,87,108,0,0,0,5,39.2,0.3,58,753.5,6.1
0,Bryce Young,CAR,QB,5,114,254,133,,168,137,186,57,3155.8,19.7,11.1,75.5,387.4,3.5,0,0,0
0,Darren Waller,CAR,TE,5,115,100,204,,198,150,243,202,0,0,0,0,0,0,45.6,490.7,4.7
3,KC Concepcion,CLE,WR,11,116,130,99,81,99,85,109,133,0,0,0,9.8,47.5,0.4,52.2,652.2,4.3
2,Josh Downs,IND,WR,13,117,143,87,90,93,87,75,100,0,0,0,3.7,13.5,0.1,69.9,726.8,5.5
1,Dallas Goedert,PHI,TE,10,118,123,137,120,130,147,166,146,0,0,0,0,0,0,58.9,582.7,5.9
1,Isaiah Likely,NYG,TE,8,119,118,117,118,127,82,122,135,0,0,0,0,0,0,61.7,627.3,4.1
0,Aaron Rodgers,PIT,QB,9,120,232,142,,171,138,187,83,3306,24.8,12.9,23.2,83.8,0.8,0,0,0
1,Matthew Golden,GB,WR,11,121,141,106,100,96,99,91,137,0,0,0,13.4,58.6,0.4,60.8,744.3,4.6
0,Jared Goff,DET,QB,6,122,283,101,128,110,104,129,39,4125,29.7,10.8,22.4,57.2,0.8,0,0,0
1,Hunter Henry,NE,TE,11,123,133,165,167,159,135,182,186,0,0,0,0,0,0,62.7,695.9,5.4
0,Baker Mayfield,TB,QB,10,124,286,103,146,123,100,120,26,3821.8,27.1,14,54.3,266.9,2,0,0,0
1,Makai Lemon,PHI,WR,10,125,113,110,107,100,95,117,115,0,0,0,1.7,8.6,0.1,53.1,605.8,4
1,Zach Charbonnet,SEA,RB,11,126,91,148,145,137,171,144,140,0,0,0,91.8,388.6,4.3,18.2,137.1,0.5
1,Jordan Love,GB,QB,11,127,287,114,153,122,131,104,45,3911.2,27.9,12.1,49.5,212.4,1.6,0,0,0
0,Pat Freiermuth,PIT,TE,9,128,94,223,,250,161,209,251,0,0,0,0,0,0,48.3,473.3,3.7
0,Malik Willis,MIA,QB,6,129,265,127,155,121,114,185,53,3013.5,16.4,10.3,111.5,592.6,4.9,0,0,0
1,Dylan Sampson,CLE,RB,11,130,101,144,152,146,127,133,167,0,0,0,100.3,365.1,1.7,33.7,285.5,1.5
0,Cade Otton,TB,TE,10,131,101,217,,203,162,212,263,0,0,0,0,0,0,55.2,543.8,3.2
1,Brandon Aubrey,DAL,K,14,132,141,219,178,353,141,,173,0,0,0,0,0,0,0,0,0
1,Xavier Worthy,KC,WR,5,133,136,126,106,101,158,119,142,0,0,0,17,97.5,0.9,54.1,677.1,4.4
0,C.J. Stroud,HOU,QB,8,134,267,132,192,167,116,154,52,3785.1,24,11.4,46.8,209.8,1.7,0,0,0
0,Greg Dulcich,MIA,TE,6,135,91,209,,196,163,242,200,0,0,0,0,0,0,45.7,523.5,2.7
1,Woody Marks,HOU,RB,8,136,101,140,132,133,173,132,151,0,0,0,116.1,444.4,2.6,21.5,194.7,1.8
1,Jakobi Meyers,JAX,WR,7,137,141,115,115,102,152,77,112,0,0,0,4.3,21.8,0.2,68.8,787.2,4
0,Tyler Shough,NO,QB,8,138,277,116,137,141,124,128,46,3651.7,22.4,12.1,79.4,343.4,3.1,0,0,0
1,Dalton Schultz,HOU,TE,8,139,119,178,162,199,136,207,184,0,0,0,0,0,0,62.3,631.2,4
0,Kyler Murray,MIN,QB,6,140,274,88,136,120,66,108,25,3483.2,21.7,10.9,75.8,427.3,2.7,0,0,0
1,Keaton Mitchell,LAC,RB,7,141,94,128,113,114,142,115,148,0,0,0,82.4,460.6,2.4,20.2,165.3,1.2
1,Brenton Strange,JAX,TE,7,142,121,145,138,160,107,163,163,0,0,0,0,0,0,62.3,668.8,3.8
0,Cam Ward,TEN,QB,9,143,244,150,194,170,151,155,74,3473.2,20.4,11.1,47.5,200.8,2.3,0,0,0
0,Kaytron Allen,WAS,RB,7,144,27,195,203,208,174,201,182,0,0,0,34.2,141.2,1,3.9,30.5,0.3
1,Jason Myers,SEA,K,11,145,138,230,,354,153,,180,0,0,0,0,0,0,0,0,0
1,Stefon Diggs,WAS,WR,7,146,137,108,88,92,91,140,116,0,0,0,0.9,4.1,0,71.1,738,4.5
0,Mike Gesicki,CIN,TE,6,147,83,222,,248,166,210,244,0,0,0,0,0,0,45.7,439.3,2.7
1,Tyjae Spears,TEN,RB,9,148,109,149,141,134,155,131,179,0,0,0,91.1,379.8,3.3,38.2,266.4,1
0,Daniel Jones,IND,QB,13,149,256,141,185,169,140,156,72,3449.9,20.7,10.7,62.4,310.2,2.5,0,0,0
1,Sean Tucker,TB,RB,10,150,63,202,200,209,201,147,226,0,0,0,74.9,329,4,3.3,27.4,0.2
1,Mike Washington,LV,RB,13,151,70,143,133,132,117,193,150,0,0,0,82,345.2,2.5,13.2,96,0.7
1,Brian Robinson,ATL,RB,11,152,88,169,163,145,187,160,194,0,0,0,108.2,454.9,3.3,13,105.2,0.9
1,Isaiah Davis,NYJ,RB,13,153,73,232,,258,190,245,,0,0,0,61,287.1,2.3,18.1,151.3,1.2
1,Ray Davis,BUF,RB,7,154,70,181,193,143,181,174,207,0,0,0,89.2,394.3,1.9,10.9,97.6,0.7
0,Geno Smith,NYJ,QB,13,155,229,160,,213,164,190,85,3278.3,19.3,11.6,51.2,227.7,1.7,0,0,0
0,Sam Darnold,SEA,QB,11,156,267,131,184,140,118,153,56,3750,26.2,13.7,42.2,169.6,1.5,0,0,0
1,Tyler Allgeier,ARI,RB,14,157,84,153,131,147,198,142,147,0,0,0,102.7,425.6,3,14.4,118.5,0.8
1,Ka'imi Fairbairn,HOU,K,8,158,138,,,355,,,209,0,0,0,0,0,0,0,0,0
1,Deebo Samuel,SF,WR,8,159,128,157,147,193,172,139,143,0,0,0,17.6,87.3,1.1,51.8,631.7,3.9
1,Khalil Shakir,BUF,WR,7,160,142,151,143,151,156,138,158,0,0,0,1.8,8.1,0.1,75.3,787.2,4.1
1,Juwan Johnson,NO,TE,8,161,117,152,121,131,143,191,172,0,0,0,0,0,0,62.1,634.7,3.8
1,Jonah Coleman,DEN,RB,10,162,77,146,122,162,169,113,170,0,0,0,74.6,317.2,2.1,20.9,149.2,1.1
1,Romeo Doubs,NE,WR,11,163,138,129,99,149,148,107,138,0,0,0,0,0,0,62.8,761.8,5.1
0,T.J. Hockenson,MIN,TE,6,164,111,176,183,201,154,179,162,0,0,0,0,0,0,62.9,590.7,3.3
1,Wan'Dale Robinson,TEN,WR,9,165,127,118,97,119,165,93,111,0,0,0,3.6,18,0.1,68.1,681.8,3.6
1,AJ Barner,SEA,TE,11,166,114,188,186,195,134,203,213,0,0,0,10,38.3,0.4,57.2,516.3,4.6
1,MarShawn Lloyd,GB,RB,11,167,68,138,117,135,144,143,176,0,0,0,65.7,263.4,2.3,18,131.1,1
1,Alvin Kamara,NO,RB,8,168,77,175,195,148,183,176,166,0,0,0,83.2,334.7,2.5,21.7,144.7,0.6
1,James Conner,ARI,RB,14,169,54,211,,205,200,196,223,0,0,0,51.3,210.4,1.9,14.5,105.2,0.7
0,Chig Okonkwo,WAS,TE,7,170,109,139,154,138,113,162,152,0,0,0,0,0,0,60.9,590.4,3.2
1,Cameron Dicker,LAC,K,7,171,138,253,,356,177,,219,0,0,0,0,0,0,0,0,0
1,Jalen Coker,CAR,WR,5,172,140,134,127,150,170,110,134,0,0,0,1.3,5.9,0,64.8,781.4,4.8
1,George Holani,SEA,RB,11,173,48,226,,220,199,266,205,0,0,0,44.6,172.4,1.9,12.4,92.5,0.7
1,De'Zhaun Stribling,SF,WR,8,174,110,97,91,86,88,116,121,0,0,0,3.7,18.8,0.1,47.3,581.2,4.3
1,Rashid Shaheed,SEA,WR,11,175,124,136,126,118,180,118,159,0,0,0,10.9,64.7,0.4,46.6,624.3,3.9
1,Tank Bigsby,PHI,RB,10,176,71,155,139,142,160,157,174,0,0,0,84.7,399.3,2.9,7.1,63.2,0.6
1,Jordyn Tyson,NO,WR,8,177,88,122,110,117,93,151,139,0,0,0,1.7,7.6,0.1,38.1,498.1,3.1
1,Tyrone Tracy,NYG,RB,8,178,76,170,166,206,167,158,154,0,0,0,93.1,395.8,2.4,14.5,109.4,0.6
1,Samaje Perine,CIN,RB,6,179,62,236,202,257,,199,275,0,0,0,49.3,215.1,1.8,20.9,151.3,0.7
0,Darnell Washington,PIT,TE,9,180,65,224,,251,194,211,,0,0,0,0,0,0,33.5,350.9,2.2
0,Chris Brooks,GB,RB,11,181,38,233,,218,,202,276,0,0,0,31.2,140.3,1,10.9,79.3,0.7
1,Isiah Pacheco,DET,RB,6,182,64,163,165,165,185,146,165,0,0,0,86.1,360.5,2.3,9.4,61.3,0.5
0,Oronde Gadsden,LAC,TE,7,183,62,173,158,197,157,165,185,0,0,0,0,0,0,26.7,359.7,2.1
1,Harrison Mevis,LAR,K,11,184,136,258,,357,189,,250,0,0,0,0,0,0,0,0,0
1,Kayshon Boutte,HOU,WR,8,185,111,164,,154,97,224,187,0,0,0,0,0,0,44.9,618.3,4.5
0,Charlie Kolar,LAC,TE,7,186,55,,,252,,,,0,0,0,1.7,7.4,0.1,29,279,1.9
1,Demond Claiborne,MIN,RB,6,187,45,189,191,211,178,145,211,0,0,0,33,135.8,1,16.2,118.7,0.9
1,Denzel Boston,CLE,WR,11,188,103,147,123,152,182,135,144,0,0,0,2.2,10.1,0.1,45.8,593.2,3.3
0,Mason Taylor,NYJ,TE,13,189,64,250,,324,203,217,,0,0,0,0,0,0,37.6,339.2,1.9
0,Kenyon Sadiq,NYJ,TE,13,190,81,192,168,200,188,205,193,0,0,0,1.9,7.8,0.1,43.7,410.3,2.8
0,Mack Hollins,NE,WR,11,191,37,218,,292,191,,149,0,0,0,0.8,4.1,0,17,203.3,1.3
0,Seth McGowan,IND,RB,13,192,24,237,196,210,,296,,0,0,0,28.9,119.1,0.9,4.1,30.5,0.2
1,Emmett Johnson,KC,RB,5,193,55,179,151,163,192,175,208,0,0,0,54.9,228.2,1.7,13.2,107.9,0.8
1,Ryan Flournoy,DAL,WR,14,194,95,158,157,156,197,134,168,0,0,0,3.3,15.9,0.1,43.1,508.9,3.4
0,Fernando Mendoza,LV,QB,13,195,221,191,,214,139,219,191,3032,17.8,10.1,45.3,248.8,2.2,0,0,0
0,Colby Parkinson,LAR,TE,11,196,58,251,,247,,239,262,0,0,0,0,0,0,28.8,275.3,2.7
0,Cam Little,JAX,K,7,197,135,254,,358,202,,196,0,0,0,0,0,0,0,0,0
0,Eli Stowers,PHI,TE,10,198,52,240,,254,,214,247,0,0,0,1.7,6.4,0.1,26.4,255.6,2.1
0,Noah Gray,KC,TE,5,199,59,,,326,,,,0,0,0,0,0,0,30.9,311.5,2
0,Terrance Ferguson,LAR,TE,11,200,68,154,134,139,122,216,160,0,0,0,0,0,0,29.6,335.3,3.2
0,Justin Joly,DEN,TE,10,201,49,,,255,205,,,0,0,0,0,0,0,25.4,252.1,1.9
1,Jalen Nailor,LV,WR,13,202,120,161,149,179,179,152,156,0,0,0,3.9,16.7,0.1,50.4,685.3,3.9
0,Nicholas Singleton,TEN,RB,9,203,41,210,198,221,196,173,221,0,0,0,49.1,206.2,1.4,7,51.2,0.4
1,Jauan Jennings,MIN,WR,6,204,105,180,161,191,175,137,231,0,0,0,0,0,0,43.6,541,4.8
1,Jalen McMillan,TB,WR,10,205,112,156,160,157,176,125,155,0,0,0,2.2,11.3,0.1,45.6,573.7,5
1,Jordan James,SF,RB,8,206,50,234,204,223,,265,239,0,0,0,58.9,262.2,2,7.3,55.4,0.4
1,Justice Hill,BAL,RB,13,207,68,241,201,259,,246,254,0,0,0,30.6,143.4,1.3,27,221.1,1.7
1,Jaylen Wright,MIA,RB,6,208,52,221,,207,,197,238,0,0,0,56.6,226,1.3,11.8,104.6,0.8
1,Germie Bernard,PIT,WR,9,209,77,227,174,236,204,225,288,0,0,0,2,10.1,0.1,35.5,408.4,2.8
0,Evan McPherson,CIN,K,6,210,132,,,359,,,246,0,0,0,0,0,0,0,0,0
0,Michael Mayer,LV,TE,13,211,57,201,,204,146,238,,0,0,0,0,0,0,33.4,312.2,1.5
0,Jacoby Brissett,ARI,QB,14,212,189,168,,212,195,188,81,2905.5,16.9,9.3,22.5,93.6,0.8,0,0,0
0,DJ Giddens,IND,RB,13,213,28,248,205,270,,268,,0,0,0,39.3,158.3,0.8,4.4,33.9,0.3
0,Jaydon Blue,DAL,RB,14,214,40,177,164,164,,172,204,0,0,0,49.5,170.9,1.8,7.8,53.2,0.4
0,Jonnu Smith,FA,TE,,215,53,,,,,,,0,0,0,7.9,41.8,0.3,24.5,230.4,1.9
0,Malik Davis,DAL,RB,14,216,38,238,,219,,248,240,0,0,0,40.3,183.8,1.6,6,48.5,0.4
0,Dawson Knox,BUF,TE,7,217,65,,,323,,289,,0,0,0,0,0,0,29.2,330.1,2.8
0,Emari Demercado,KC,RB,5,218,31,245,,222,,247,272,0,0,0,22.3,143.5,0.6,7.4,61.2,0.4
0,Theo Johnson,NYG,TE,8,219,51,268,,329,,244,279,0,0,0,0,0,0,24,269.4,2
1,Ollie Gordon,MIA,RB,6,220,46,228,,261,,177,243,0,0,0,48.7,153.5,2,11.2,82.9,0.7
1,Tre Tucker,LV,WR,13,221,108,183,148,172,193,171,215,0,0,0,7.1,35.2,0.3,45.3,577.2,3.7
