"Rk","","Player","Team","Position","ADP","Bye","FPTS","Notes","Grp"
"78","","Houston Texans D/ST","HOU","DST","140.44","8","139.0","",""
"79","","Jadarian Price","SEA","RB","63.90","11","176.0","",""
"80","","Drake Maye","NE","QB","59.98","11","305.0","",""
"81","","Courtland Sutton","DEN","WR","84.50","10","172.0","",""
"82","","Juwan Johnson","NO","TE","137.56","8","122.0","",""
"83","","D.K. Metcalf","PIT","WR","79.40","9","161.0","",""
"84","","Brenton Strange","JAX","TE","152.76","7","117.0","",""
"85","","Justin Herbert","LAC","QB","85.08","7","305.0","",""
"86","","Dak Prescott","DAL","QB","79.43","14","275.0","",""
"87","","Brian Thomas Jr.","JAX","WR","72.96","7","146.0","",""
"88","","Rico Dowdle","PIT","RB","83.78","9","165.0","",""
"89","","Carnell Tate","TEN","WR","69.78","9","144.0","",""
"90","","Jaylen Warren","PIT","RB","71.52","9","181.0","",""
"91","","Jaxson Dart","NYG","QB","104.65","8","301.0","",""
"92","","Hunter Henry","NE","TE","151.98","11","122.0","",""
"93","","Michael Pittman Jr.","PIT","WR","97.91","9","156.0","",""
"94","","Brock Purdy","SF","QB","104.19","8","302.0","",""
"95","","Chuba Hubbard","CAR","RB","100.97","5","146.0","",""
"96","","Parker Washington","JAX","WR","60.52","7","154.0","",""
"97","","Chris Godwin","TB","WR","81.64","10","144.0","",""
"98","","Dalton Schultz","HOU","TE","169.30","8","116.0","",""
"99","","Jayden Reed","GB","WR","97.03","11","148.0","",""
"100","","Michael Wilson","ARI","WR","83.78","14","141.0","",""
"101","","T.J. Hockenson","MIN","TE","163.88","6","106.0","",""
"102","","Wan'Dale Robinson","TEN","WR","92.12","9","140.0","",""
"103","","J.K. Dobbins","DEN","RB","98.99","10","168.0","",""
"104","","Jordyn Tyson","NO","WR","137.37","8","108.0","",""
"105","","Rhamondre Stevenson","NE","RB","68.78","11","162.0","",""
"106","","Caleb Williams","CHI","QB","67.56","10","302.0","",""
"107","","Chigoziem Okonkwo","WSH","TE","150.26","7","99.0","",""
"108","","Pat Freiermuth","PIT","TE","208.89","9","105.0","",""
"109","","Trevor Lawrence","JAX","QB","80.70","7","289.0","",""
"110","","Cade Otton","TB","TE","197.38","10","100.0","",""
"111","","Jakobi Meyers","JAX","WR","113.68","7","140.0","",""
"112","","Makai Lemon","PHI","WR","107.68","10","119.0","",""
"113","","Patrick Mahomes","KC","QB","103.12","5","291.0","",""
"114","","Kyle Monangai","CHI","RB","112.89","10","144.0","",""
"115","","Josh Downs","IND","WR","91.34","13","126.0","",""
"116","","Oronde Gadsden II","LAC","TE","178.14","7","74.0","",""
"117","","Greg Dulcich","MIA","TE","187.55","6","108.0","",""
"118","","Quentin Johnston","LAC","WR","86.43","7","141.0","",""
"119","","Romeo Doubs","NE","WR","120.84","11","135.0","",""
"120","","Kenyon Sadiq","NYJ","TE","178.18","13","97.0","",""
"121","","Khalil Shakir","BUF","WR","136.21","7","129.0","",""
"122","","RJ Harvey","DEN","RB","83.21","10","137.0","",""
"123","","Jared Goff","DET","QB","101.09","6","274.0","",""
"124","","Seattle Seahawks D/ST","SEA","DST","160.69","11","122.0","",""
"125","","Tyler Shough","NO","QB","123.03","8","264.0","",""
"126","","Xavier Worthy","KC","WR","125.30","5","141.0","",""
"127","","AJ Barner","SEA","TE","192.85","11","95.0","",""
"128","","Jordan Addison","MIN","WR","101.30","6","137.0","",""
"129","","Matthew Stafford","LAR","QB","98.90","11","299.0","",""
"130","","Jordan Love","GB","QB","125.09","11","273.0","",""
"131","","Bo Nix","DEN","QB","104.40","10","291.0","",""
"132","","Denver Broncos D/ST","DEN","DST","162.08","10","117.0","",""
"133","","Rachaad White","WSH","RB","116.85","7","140.0","",""
"134","","Terrance Ferguson","LAR","TE","168.63","11","105.0","",""
"135","","Jason Myers","SEA","K","N/A","11","178.0","",""
"136","","Aaron Jones","MIN","RB","132.25","6","141.0","",""
"137","","Cameron Dicker","LAC","K","N/A","7","152.0","",""
"138","","Ka'imi Fairbairn","HOU","K","N/A","8","172.0","",""
"139","","Evan Engram","DEN","TE","249.25","10","88.0","",""
"140","","Gunnar Helm","TEN","TE","194.42","9","90.0","",""
"141","","Mike Gesicki","CIN","TE","284.69","6","83.0","",""
"142","","Kyler Murray","MIN","QB","116.34","6","259.0","",""
"143","","Matthew Golden","GB","WR","110.83","11","131.0","",""
"144","","Kenneth Gainwell","TB","RB","92.93","10","131.0","",""
"145","","Baker Mayfield","TB","QB","122.21","10","271.0","",""
"146","","Malik Willis","MIA","QB","136.28","6","244.0","",""
"147","","C.J. Stroud","HOU","QB","148.92","8","253.0","",""
"148","","Calvin Ridley","TEN","WR","199.40","9","117.0","",""
"149","","David Njoku","LAC","TE","208.33","7","83.0","",""
"150","","Eddy Pineiro","SF","K","N/A","8","150.0","",""
"151","","Cam Little","JAX","K","N/A","7","134.0","",""
"152","","Sam Darnold","SEA","QB","142.51","11","264.0","",""
"153","","Pittsburgh Steelers D/ST","PIT","DST","195.39","9","122.0","",""
"154","","Jerry Jeudy","CLE","WR","189.22","11","120.0","",""
"155","","Jalen Coker","CAR","WR","134.82","5","121.0","",""
"156","","Jacory Croskey-Merritt","WSH","RB","103.02","7","133.0","",""
"157","","Brandon Aubrey","DAL","K","N/A","14","179.0","",""
"158","","Blake Grupe","IND","K","N/A","13","141.0","",""
"159","","Mason Taylor","NYJ","TE","N/A","13","73.0","",""
"160","","Rashid Shaheed","SEA","WR","134.07","11","131.0","",""
"161","","Minnesota Vikings D/ST","MIN","DST","199.58","6","101.0","",""
"162","","Evan McPherson","CIN","K","N/A","6","146.0","",""
"163","","Theo Wease Jr.","MIA","WR","260.90","6","37.0","",""
"164","","KC Concepcion","CLE","WR","117.09","11","131.0","",""
"165","","Blake Corum","LAR","RB","89.07","11","123.0","",""
"166","","John Metchie","CAR","WR","N/A","5","39.0","",""
"167","","Rashod Bateman","BAL","WR","226.29","13","112.0","",""
"168","","Philadelphia Eagles D/ST","PHI","DST","181.64","10","100.0","",""
"169","","Colby Parkinson","LAR","TE","224.60","11","71.0","",""
"170","","Michael Mayer","LV","TE","286.39","13","73.0","",""
"171","","Tank Dell","HOU","WR","187.53","8","117.0","",""
"172","","Tre Tucker","LV","WR","166.34","13","109.0","",""
"173","","Jonathon Brooks","CAR","RB","72.49","5","146.0","",""
"174","","Wil Lutz","DEN","K","N/A","10","130.0","",""
"175","","Jordan Mason","MIN","RB","94.08","6","141.0","",""
"176","","Jauan Jennings","MIN","WR","167.42","6","113.0","",""
"177","","Bryce Young","CAR","QB","170.43","5","235.0","",""
"178","","Harrison Mevis","LAR","K","N/A","11","165.0","",""
"179","","Zach Charbonnet","SEA","RB","156.00","11","116.0","",""
"180","","New Orleans Saints D/ST","NO","DST","243.40","8","93.0","",""
"181","","Daniel Jones","IND","QB","148.10","13","263.0","",""
"182","","Jalen McMillan","TB","WR","162.62","10","102.0","",""
"183","","Cairo Santos","CHI","K","N/A","10","151.0","",""
"184","","Jalen Nailor","LV","WR","146.66","13","107.0","",""
"185","","Los Angeles Chargers D/ST","LAC","DST","192.97","7","90.0","",""
"186","","Dawson Knox","BUF","TE","N/A","7","57.0","",""
"187","","Chase McLaughlin","TB","K","N/A","10","152.0","",""
"188","","Harrison Butker","KC","K","N/A","5","149.0","",""
"189","","Jason Sanders","NYJ","K","N/A","13","122.0","",""
"190","","Chris Boswell","PIT","K","N/A","9","125.0","",""
"191","","Jake Bates","DET","K","N/A","6","138.0","",""
"192","","Cooper Kupp","SEA","WR","233.36","11","101.0","",""
"193","","Tyler Higbee","LAR","TE","N/A","11","55.0","",""
"194","","Isiah Pacheco","DET","RB","164.90","6","109.0","",""
"195","","Cleveland Browns D/ST","CLE","DST","217.65","11","78.0","",""
"196","","Los Angeles Rams D/ST","LAR","DST","146.74","11","85.0","",""
"197","","Tyler Loop","BAL","K","N/A","13","142.0","",""
"198","","Denzel Boston","CLE","WR","150.59","11","117.0","",""
"199","","Tyjae Spears","TEN","RB","149.44","9","114.0","",""
"200","","Baltimore Ravens D/ST","BAL","DST","202.34","13","91.0","",""
"201","","Theo Johnson","NYG","TE","N/A","8","65.0","",""
"202","","Nick Folk","ATL","K","N/A","11","146.0","",""
"203","","Cam Ward","TEN","QB","151.98","9","235.0","",""
"204","","Woody Marks","HOU","RB","136.28","8","105.0","",""
"205","","Buffalo Bills D/ST","BUF","DST","232.53","7","84.0","",""
"206","","Alvin Kamara","NO","RB","165.66","8","116.0","",""
"207","","Antonio Williams","WSH","WR","231.80","7","84.0","",""
"208","","Geno Smith","NYJ","QB","190.64","13","220.0","",""
"209","","Tyrone Tracy Jr.","NYG","RB","141.16","8","90.0","",""
"210","","Tommy Tremble","CAR","TE","N/A","5","37.0","",""
"211","","Darnell Washington","PIT","TE","N/A","9","56.0","",""
"212","","Detroit Lions D/ST","DET","DST","228.77","6","99.0","",""
"213","","Omar Cooper Jr.","NYJ","WR","185.84","13","71.0","",""
"214","","Cole Kmet","CHI","TE","N/A","10","51.0","",""
"215","","Aaron Rodgers","PIT","QB","185.78","9","224.0","",""
"216","","Travis Hunter","JAX","WR","181.06","7","92.0","",""
"217","","Tyler Allgeier","ARI","RB","134.85","14","96.0","",""
"218","","Tyler Bass","BUF","K","N/A","7","131.0","",""
"219","","Adonai Mitchell","NYJ","WR","179.34","13","92.0","",""
"220","","Germie Bernard","PIT","WR","218.48","9","85.0","",""
"221","","Christian Kirk","SF","WR","245.37","8","66.0","",""
"222","","Chris Rodriguez","JAX","RB","128.53","7","94.0","",""
"223","","Justice Hill","BAL","RB","211.89","13","88.0","",""
"224","","Samaje Perine","CIN","RB","264.28","6","85.0","",""
"225","","Jordan James","SF","RB","223.64","8","68.0","",""
"226","","Jacoby Brissett","ARI","QB","178.97","14","213.0","",""
"227","","Dylan Sampson","CLE","RB","164.29","11","81.0","",""
"228","","Ja'Tavion Sanders","CAR","TE","N/A","5","34.0","",""
"229","","Noah Fant","NO","TE","N/A","8","46.0","",""
"230","","Brian Robinson","ATL","RB","171.62","11","91.0","",""
"231","","Darius Slayton","NYG","WR","N/A","8","80.0","",""
"232","","Malik Washington","MIA","WR","163.07","6","87.0","",""
"233","","AJ Dillon","CAR","RB","N/A","5","90.0","",""
"234","","Braelon Allen","NYJ","RB","173.42","13","89.0","",""
"235","","Bub Means","NO","WR","N/A","8","90.0","",""
"236","","Darnell Mooney","NYG","WR","243.10","8","47.0","",""
"237","","Tory Horton","SEA","WR","287.75","11","70.0","",""
"238","","Ty Johnson","BUF","RB","N/A","7","71.0","",""
"239","","Elijah Higgins","ARI","TE","N/A","14","41.0","",""
"240","","Will Kacmarek","MIA","TE","N/A","6","45.0","",""
"241","","Chris Bell","MIA","WR","257.02","6","74.0","",""
"242","","Jack Bech","LV","WR","279.26","13","51.0","",""
"243","","Ja'Kobi Lane","BAL","WR","170.45","13","111.0","",""
"244","","Erick All","CIN","TE","N/A","6","49.0","",""
"245","","Chicago Bears D/ST","CHI","DST","223.16","10","75.0","",""
"246","","Elijah Arroyo","SEA","TE","N/A","11","37.0","",""
"247","","Austin Hooper","ATL","TE","263.68","11","38.0","",""
"248","","Kayshon Boutte","HOU","WR","192.08","8","92.0","",""
"249","","Mike Washington Jr.","LV","RB","156.16","13","87.0","",""
"250","","Nick Westbrook-Ikhine","IND","WR","N/A","13","11.0","",""
"251","","Marquise Brown","PHI","WR","N/A","10","62.0","",""
"252","","Troy Franklin","DEN","WR","236.61","10","83.0","",""
"253","","Tyquan Thornton","KC","WR","283.50","5","74.0","",""
"254","","Emari Demercado","KC","RB","285.09","5","74.0","",""
"255","","Tre Harris","LAC","WR","170.16","7","70.0","",""
"256","","De'Zhaun Stribling","SF","WR","112.92","8","125.0","",""
"257","","Isaiah Hodgins","NYG","WR","N/A","8","27.0","",""
"258","","Eli Stowers","PHI","TE","278.59","10","36.0","",""
"259","","Josh Oliver","MIN","TE","N/A","6","40.0","",""
"260","","Luke Musgrave","GB","TE","N/A","11","35.0","",""
"261","","","","","N/A","","NP","",""
"262","","Will Reichard","MIN","K","N/A","6","148.0","",""
"263","","Devaughn Vele","NO","WR","239.13","8","99.0","",""
"264","","Caleb Douglas","MIA","WR","187.56","6","79.0","",""
"265","","Daniel Bellinger","TEN","TE","N/A","9","38.0","",""
"266","","Noah Gray","KC","TE","N/A","5","38.0","",""
"267","","Brock Wright","DET","TE","N/A","6","42.0","",""
"268","","Jahan Dotson","ATL","WR","N/A","11","72.0","",""
"269","","Isaac TeSlaa","DET","WR","197.80","6","70.0","",""
"270","","Ben Sims","MIA","TE","N/A","6","33.0","",""
"271","","New England Patriots D/ST","NE","DST","183.96","11","72.0","",""
"272","","Andrei Iosivas","CIN","WR","N/A","6","63.0","",""
"273","","Kaelon Black","SF","RB","197.15","8","78.0","",""
"274","","Keaton Mitchell","LAC","RB","131.34","7","80.0","",""
"275","","Chris Brooks","GB","RB","N/A","11","52.0","",""
"276","","Tank Bigsby","PHI","RB","150.27","10","81.0","",""
"277","","","","","N/A","","NP","",""
"278","","Ted Hurst","TB","WR","223.28","10","64.0","",""
"279","","Ryan Flournoy","DAL","WR","186.27","14","71.0","",""
"280","","Marlin Klein","HOU","TE","N/A","8","34.0","",""
"281","","Eli Raridon","NE","TE","N/A","11","35.0","",""
"282","","Charlie Kolar","LAC","TE","268.81","7","46.0","",""
"283","","Fernando Mendoza","LV","QB","187.82","13","181.0","",""
"284","","Malik Davis","DAL","RB","N/A","14","44.0","",""
"285","","John Bates","WSH","TE","N/A","7","30.0","",""
"286","","Adam Trautman","DEN","TE","N/A","10","36.0","",""
"287","","Jake Tonges","SF","TE","232.03","8","34.0","",""
"288","","Dyami Brown","WSH","WR","N/A","7","35.0","",""
"289","","Olamide Zaccheaus","ATL","WR","N/A","11","50.0","",""
"290","","Elic Ayomanor","TEN","WR","N/A","9","63.0","",""
"291","","Cade Stover","HOU","TE","N/A","8","27.0","",""
"292","","KaVontae Turpin","DAL","WR","N/A","14","58.0","",""
"293","","Adam Randall","BAL","RB","Undrafted","13","56.0","",""
"294","","Ashton Dulin","IND","WR","N/A","13","56.0","",""
"295","","Dontayvion Wicks","PHI","WR","167.76","10","86.0","",""
"296","","Tutu Atwell","MIA","WR","N/A","6","59.0","",""
"297","","Kansas City Chiefs D/ST","KC","DST","242.37","5","89.0","",""
"298","","Luke Schoonmaker","DAL","TE","N/A","14","30.0","",""
"299","","Kimani Vidal","LAC","RB","195.58","7","44.0","",""
"300","","Chimere Dike","TEN","WR","N/A","9","61.0","",""
"301","","Pat Bryant","DEN","WR","190.46","10","55.0","",""
"302","","James Conner","ARI","RB","232.66","14","48.0","",""
"303","","Davis Allen","LAR","TE","N/A","11","29.0","",""
"304","","Tanner Hudson","CIN","TE","N/A","6","30.0","",""
"305","","Kevin Coleman Jr.","MIA","WR","N/A","6","29.0","",""
"306","","Tua Tagovailoa","ATL","QB","209.81","11","153.0","",""
"307","","Savion Williams","GB","WR","N/A","11","43.0","",""
"308","","Jeremy Ruckert","NYJ","TE","275.64","13","28.0","",""
"309","","Trey Smack","GB","K","N/A","11","129.0","",""
"310","","Kendrick Bourne","ARI","WR","N/A","14","46.0","",""
"311","","Van Jefferson","WSH","WR","N/A","7","23.0","",""
"312","","Dallen Bentley","DEN","TE","N/A","10","22.0","",""
"313","","Mo Alie-Cox","IND","TE","N/A","13","29.0","",""
"314","","Nate Boerkircher","JAX","TE","N/A","7","29.0","",""
"315","","Mitchell Evans","CAR","TE","N/A","5","17.0","",""
"316","","","","","N/A","","NP","",""
"317","","Emanuel Wilson","SEA","RB","257.04","11","43.0","",""
"318","","Josh Palmer","BUF","WR","N/A","7","33.0","",""
"319","","Xavier Hutchinson","HOU","WR","267.98","8","73.0","",""
"320","","Marvin Mims","DEN","WR","N/A","10","51.0","",""
"321","","Jalen Tolbert","MIA","WR","N/A","6","64.0","",""
"322","","Calvin Austin","NYG","WR","N/A","8","49.0","",""
"323","","Kyle Juszczyk","SF","RB","N/A","8","40.0","",""
"324","","Drew Sample","CIN","TE","277.91","6","30.0","",""
"325","","Grant Calcaterra","PHI","TE","N/A","10","23.0","",""
"326","","Cedric Tillman","CLE","WR","N/A","11","46.0","",""
"327","","Atlanta Falcons D/ST","ATL","DST","248.59","11","79.0","",""
"328","","Jawhar Jordan","HOU","RB","N/A","8","41.0","",""
"329","","Jaylen Wright","MIA","RB","236.18","6","41.0","",""
"330","","Xavier Legette","CAR","WR","N/A","5","74.0","",""
"331","","Keon Coleman","BUF","WR","253.15","7","57.0","",""
"332","","Charlie Woerner","ATL","TE","N/A","11","26.0","",""
"333","","Jack Endries","CIN","TE","N/A","6","24.0","",""
"334","","Kalif Raymond","CHI","WR","N/A","10","35.0","",""
"335","","Ty Chandler","NO","RB","N/A","8","32.0","",""
"336","","Kendre Miller","NO","RB","N/A","8","20.0","",""
"337","","Emmett Johnson","KC","RB","185.46","5","37.0","",""
"338","","Jaylin Lane","WSH","WR","N/A","7","28.0","",""
"339","","Demario Douglas","NE","WR","N/A","11","45.0","",""
"340","","Jahdae Walker","CHI","WR","N/A","10","42.0","",""
"341","","Marshawn Lloyd","GB","RB","144.79","11","41.0","",""
"342","","Hayden Rucci","SF","TE","N/A","8","24.0","",""
"343","","Teagan Quitoriano","ARI","TE","N/A","14","23.0","",""
"344","","Ben Sinnott","WSH","TE","N/A","7","22.0","",""
"345","","Will Mallory","IND","TE","N/A","13","30.0","",""
"346","","LeQuint Allen","JAX","RB","285.22","7","35.0","",""
"347","","Elijah Sarratt","BAL","WR","N/A","13","29.0","",""
"348","","George Holani","SEA","RB","206.82","11","32.0","",""
"349","","Isaiah Davis","NYJ","RB","N/A","13","37.0","",""
"350","","Bauer Sharp","TB","TE","N/A","10","28.0","",""
"351","","Zaire Mitchell-Paden","NO","TE","N/A","8","22.0","",""
"352","","Tanner Conner","NYG","TE","N/A","8","22.0","",""
"353","","Nick Vannett","SEA","TE","N/A","11","27.0","",""
"354","","Connor Heyward","LV","TE","N/A","13","24.0","",""
"355","","Justin Joly","DEN","TE","N/A","10","11.0","",""
"356","","Jackson Hawes","BUF","TE","N/A","7","23.0","",""
"357","","Jaylin Noel","HOU","WR","243.25","8","88.0","",""
"358","","Trevor Etienne","CAR","RB","N/A","5","9.0","",""
"359","","Phil Mafah","DAL","RB","N/A","14","25.0","",""
"360","","Zachariah Branch","ATL","WR","199.20","11","59.0","",""
"361","","Foster Moreau","HOU","TE","N/A","8","20.0","",""
"362","","Cam Grandy","CIN","TE","N/A","6","14.0","",""
"363","","Jaheim Bell","PIT","TE","N/A","9","20.0","",""
"364","","Jared Wiley","KC","TE","248.67","5","15.0","",""
"365","","Ollie Gordon II","MIA","RB","Undrafted","6","30.0","",""
"366","","Jaydon Blue","DAL","RB","177.53","14","43.0","",""
"367","","Demarcus Robinson","SF","WR","N/A","8","40.0","",""
"368","","DJ Giddens","IND","RB","N/A","13","30.0","",""
"369","","Jacksonville Jaguars D/ST","JAX","DST","188.23","7","73.0","",""
"370","","Najee Harris","NYG","RB","247.05","8","54.0","",""
"371","","Ray Davis","BUF","RB","181.74","7","30.0","",""
"372","","Frank Gore Jr.","BUF","RB","N/A","7","27.0","",""
"373","","Kaytron Allen","WSH","RB","214.84","7","27.0","",""
"374","","Jaren Kanak","TEN","TE","N/A","9","20.0","",""
"375","","Donovan Edwards","MIA","RB","N/A","6","22.0","",""
"376","","Roschon Johnson","CHI","RB","N/A","10","26.0","",""
"377","","Dont'e Thornton Jr.","LV","WR","N/A","13","12.0","",""
"378","","","","","N/A","","NP","",""
"379","","Jerome Ford","N/A","RB","N/A","","13.0","",""
"380","","Nate Adkins","DEN","TE","N/A","10","19.0","",""
"381","","Jam Miller","NE","RB","N/A","11","29.0","",""
"382","","Tahj Brooks","CIN","RB","N/A","6","24.0","",""
"383","","Salvon Ahmed","CHI","RB","N/A","10","22.0","",""
"384","","Jeremy McNichols","WSH","RB","264.79","7","17.0","",""
"385","","Jonah Coleman","DEN","RB","147.91","10","38.0","",""
"386","","Devin Singletary","NYG","RB","N/A","8","13.0","",""
"387","","Israel Abanikanda","DAL","RB","N/A","14","29.0","",""
"388","","Luke McCaffrey","WSH","WR","N/A","7","41.0","",""
"389","","Demond Claiborne","MIN","RB","223.60","6","11.0","",""
"390","","Brashard Smith","KC","RB","N/A","5","22.0","",""
"391","","Jarquez Hunter","LAR","RB","N/A","11","23.0","",""
"392","","Dameon Pierce","PHI","RB","N/A","10","21.0","",""
"393","","Skyler Bell","BUF","WR","N/A","7","25.0","",""
"394","","Sean Tucker","TB","RB","208.69","10","31.0","",""
"395","","Carlos Washington","MIA","RB","N/A","6","22.0","",""
"396","","Audric Estime","NO","RB","N/A","8","22.0","",""
"397","","Jalen Royals","KC","WR","N/A","5","11.0","",""
"398","","Treylon Burks","WSH","WR","N/A","7","35.0","",""
"399","","Seth McGowan","IND","RB","273.15","13","19.0","",""
"400","","Deshaun Watson","CLE","QB","234.20","11","137.0","",""
"401","","Bryce Lance","NO","WR","283.27","8","32.0","",""
"402","","Jordan Whittington","LAR","WR","N/A","11","31.0","",""
"403","","Devin Culp","TB","TE","N/A","10","8.0","",""
"404","","Odell Beckham","NYG","WR","N/A","8","28.0","",""
"405","","","","","N/A","","NP","",""
"406","","Will Shipley","PHI","RB","N/A","10","18.0","",""
"407","","Tyler Badie","DEN","RB","N/A","10","12.0","",""
"408","","Devin Neal","NO","RB","N/A","8","17.0","",""
"409","","Indianapolis Colts D/ST","IND","DST","N/A","13","71.0","",""
"410","","Hunter Luepke","DAL","RB","N/A","14","17.0","",""
"411","","Mack Hollins","NE","WR","N/A","11","30.0","",""
"412","","Drake Dabney","GB","TE","N/A","11","21.0","",""
"413","","Durham Smythe","BAL","TE","280.44","13","14.0","",""
"414","","Josh Whyle","GB","TE","N/A","11","5.0","",""
"415","","Thomas Fidone II","NYG","TE","N/A","8","14.0","",""
"416","","Devontez Walker","BAL","WR","N/A","13","33.0","",""
"417","","Malachi Fields","NYG","WR","192.45","8","47.0","",""
"418","","Nicholas Singleton","TEN","RB","200.91","9","13.0","",""
"419","","Hunter Long","JAX","TE","N/A","7","7.0","",""
"420","","Seydou Traore","MIA","TE","N/A","6","13.0","",""
"421","","Isaac Guerendo","SF","RB","N/A","8","11.0","",""
"422","","Andrew Beck","NYJ","RB","N/A","13","12.0","",""
"423","","Alec Ingold","LAC","RB","N/A","7","10.0","",""
"424","","Max Klare","LAR","TE","N/A","11","12.0","",""
"425","","Zavier Scott","MIN","RB","N/A","6","7.0","",""
"426","","Michael Burton","CLE","RB","N/A","11","7.0","",""
"427","","Adam Prentice","DEN","RB","N/A","10","6.0","",""
"428","","KeAndre Lambert-Smith","LAC","WR","N/A","7","11.0","",""
