"Player Name","Player Team","Player Position","DS Rank","Consensus: Redraft 0.5 PPR ADP","Consensus: Redraft 0.5 PPR ADP Market Index","Sleeper: Redraft 0.5 PPR ADP","Sleeper: Redraft 0.5 PPR ADP Market Index"
"Lamar Jackson","BAL","QB","47","4.6","-5","3.12","-11"
"Emeka Egbuka","TB","WR","48","4.1","-11","4.4","-8"
"Mike Evans","SF","WR","50","5.12","10","5.12","10"
"Luther Burden III","CHI","WR","51","5.1","-2","5.4","1"
"Ladd McConkey","LAC","WR","53","4.4","-13","4.5","-12"
"Terry McLaurin","WAS","WR","54","5.3","-3","5.3","-3"
"Drake Maye","NE","QB","56","5.10","2","5.5","-3"
"Jameson Williams","DET","WR","58","5.6","-4","5.8","-2"
"D'Andre Swift","CHI","RB","59","5.4","-7","5.6","-5"
"Tucker Kraft","GB","TE","60","6.8","8","6.7","7"
"Cameron Skattebo","NYG","RB","61","4.3","-22","4.2","-23"
"Rome Odunze","CHI","WR","62","6.2","0","6.3","1"
"Jayden Daniels","WAS","QB","63","6.4","1","6.4","1"
"David Montgomery","HOU","RB","64","4.11","-17","5.1","-15"
"Joe Burrow","CIN","QB","65","5.11","-6","5.7","-10"
"Jalen Hurts","PHI","QB","66","6.6","0","6.5","-1"
"Sam LaPorta","DET","TE","68","6.12","4","6.8","0"
"D.J. Moore","BUF","WR","69","5.7","-14","5.9","-12"
"Bucky Irving","TB","RB","70","4.10","-24","4.9","-25"
"Quinshon Judkins","CLE","RB","71","4.12","-23","4.12","-23"
"Harold Fannin Jr.","CLE","TE","72","7.5","5","6.11","-1"
"Parker Washington","JAC","WR","73","6.11","-2","7.5","4"
"Trevor Lawrence","JAC","QB","74","8.8","18","9.1","23"
"Justin Herbert","LAC","QB","75","7.9","6","7.9","6"
"Brock Purdy","SF","QB","76","9.10","30","10.6","38"
"Caleb Williams","CHI","QB","78","7.3","-3","7.8","2"
"Dak Prescott","DAL","QB","79","7.12","5","8.6","11"
"Kyler Murray","MIN","QB","80","12.6","58","14.9","85"
"TreVeyon Henderson","NE","RB","81","5.2","-31","4.10","-35"
"Bhayshul Tuten","JAC","RB","82","5.9","-25","5.11","-23"
"D.K. Metcalf","PIT","WR","83","7.4","-7","7.4","-7"
"Rhamondre Stevenson","NE","RB","84","7.2","-10","7.6","-6"
"Carnell Tate","TEN","WR","86","6.3","-23","6.2","-24"
"Marvin Harrison Jr.","ARI","WR","87","6.10","-17","7.2","-13"
"Jaxson Dart","NYG","QB","88","8.11","7","8.9","5"
"Jadarian Price","SEA","RB","89","6.1","-28","6.1","-28"
"George Kittle","SF","TE","90","9.2","8","8.10","4"
"Jaylen Warren","PIT","RB","92","6.7","-25","6.9","-23"
"Brian Thomas Jr.","JAC","WR","93","6.9","-24","6.10","-23"
"Courtland Sutton","DEN","WR","94","8.2","-8","8.3","-7"
"Jonathon Brooks","CAR","RB","95","8.7","-4","8.8","-3"
"Bo Nix","DEN","QB","96","10.3","15","10.8","20"
"Rico Dowdle","PIT","RB","97","7.11","-14","7.12","-13"
"Jayden Reed","GB","WR","98","9.3","1","9.8","6"
"Tony Pollard","TEN","RB","99","7.8","-19","7.10","-17"
"Jordyn Tyson","NO","WR","100","7.1","-27","7.3","-25"
"Patrick Mahomes","KC","QB","101","9.5","0","9.9","4"
"J.K. Dobbins","DEN","RB","103","8.5","-14","8.2","-17"
"Kyle Pitts","ATL","TE","104","7.7","-25","6.12","-32"
"Jordan Addison","MIN","WR","105","9.1","-8","9.3","-6"
"Quentin Johnston","LAC","WR","106","8.12","-10","9.6","-4"
"Jordan Mason","MIN","RB","108","9.12","0","10.2","2"
"Alec Pierce","IND","WR","114","8.4","-26","8.5","-25"
"Jared Goff","DET","QB","116","10.11","3","11.8","12"
"Michael Pittman Jr.","PIT","WR","117","9.4","-17","9.2","-19"
"Chuba Hubbard","CAR","RB","118","7.6","-40","7.1","-45"
"Matthew Stafford","LAR","QB","120","9.11","-13","10.4","-8"
"Jacory Croskey-Merritt","WAS","RB","121","9.8","-17","9.4","-21"
"Jakobi Meyers","JAC","WR","122","10.2","-12","9.7","-19"
"Blake Corum","LAR","RB","123","8.9","-30","8.7","-32"
"Kyle Monangai","CHI","RB","124","8.3","-37","8.1","-39"
"Josh Downs","IND","WR","125","9.7","-22","10.3","-14"
"Tyler Shough","NO","QB","126","13.2","20","14.8","38"
"Jordan Love","GB","QB","127","11.12","5","13.5","22"
"Xavier Worthy","KC","WR","128","10.10","-10","11.2","-6"
"RJ Harvey","DEN","RB","130","7.10","-48","7.7","-51"
"Baker Mayfield","TB","QB","131","12.3","4","13.7","20"
"Travis Kelce","KC","TE","133","9.9","-28","9.5","-32"
"Chris Godwin","TB","WR","135","8.10","-41","8.12","-39"
"Stefon Diggs","WAS","WR","136","10.9","-19","11.3","-13"
"Romeo Doubs","NE","WR","137","11.4","-13","11.1","-16"
"Deebo Samuel","SF","WR","139","12.2","-5","12.12","5"
"Kenneth Gainwell","TB","RB","144","10.1","-35","10.1","-35"
"Makai Lemon","PHI","WR","146","8.1","-61","7.11","-63"
"Brandon Aubrey","DAL","K","147","","","11.11","-16"
"Tyjae Spears","TEN","RB","149","13.10","5","14.3","10"
"Rachaad White","WAS","RB","150","10.6","-36","10.7","-35"
"Zach Charbonnet","SEA","RB","151","11.9","-22","11.5","-26"
"Michael Wilson","ARI","WR","152","8.6","-62","8.4","-64"
"Jayden Higgins","HOU","WR","153","11.6","-27","11.4","-29"
"Matthew Golden","GB","WR","156","11.2","-34","11.6","-30"
"Malik Willis","MIA","QB","157","13.12","-1","15.10","21"
"Aaron Jones","MIN","RB","160","10.5","-47","9.10","-54"
"KC Concepcion","CLE","WR","163","10.12","-43","10.5","-50"
"Daniel Jones","IND","QB","165","15.3","6","17.3","30"
"Mark Andrews","BAL","TE","167","11.1","-46","10.10","-49"
"Chris Rodriguez","JAC","RB","170","12.5","-33","12.9","-29"
"Woody Marks","HOU","RB","173","12.7","-34","13.1","-28"
"Cameron Dicker","LAC","K","174","","","12.3","-39"
"C.J. Stroud","HOU","QB","176","14.9","-11","16.11","15"
"Dalton Kincaid","BUF","TE","177","9.6","-75","8.11","-82"
"Isiah Pacheco","DET","RB","179","14.7","-16","15.11","0"
"Tyrone Tracy Jr.","NYG","RB","182","11.8","-54","11.9","-53"
"Houston Texans","HOU","DEF","183","","","12.1","-50"
"Wan'Dale Robinson","TEN","WR","184","10.4","-72","9.11","-77"
"Dallas Goedert","PHI","TE","186","11.3","-63","10.11","-67"
"Rashid Shaheed","SEA","WR","188","12.10","-46","13.9","-35"
"Cameron Ward","TEN","QB","189","14.11","-22","17.1","4"
"Dylan Sampson","CLE","RB","190","15.2","-20","15.9","-13"
"Keaton Mitchell","LAC","RB","194","13.6","-44","14.7","-31"
"Jalen McMillan","TB","WR","195","15.6","-21","16.12","-3"
"Ka'imi Fairbairn","HOU","K","196","","","12.10","-54"
"Khalil Shakir","BUF","WR","198","12.1","-65","11.10","-68"
"Sam Darnold","SEA","QB","199","13.5","-50","15.1","-30"
"Denver Broncos","DEN","DEF","201","","","12.4","-65"
"Tyler Allgeier","ARI","RB","203","11.10","-73","11.7","-76"
"Brenton Strange","JAC","TE","204","12.12","-60","13.4","-56"
"Alvin Kamara","NO","RB","205","13.3","-58","13.12","-49"
"MarShawn Lloyd","GB","RB","207","16.11","-16","19.1","10"
"Jake Ferguson","DAL","TE","208","10.7","-93","9.12","-100"
"Brian Robinson Jr.","ATL","RB","209","14.1","-52","14.4","-49"
"Isaiah Likely","NYG","TE","210","10.8","-94","10.12","-90"
"Seattle Seahawks","SEA","DEF","212","11.7","-85","12.2","-78"
"De'Zhaun Stribling","SF","WR","213","13.1","-68","13.8","-61"
"Jalen Coker","CAR","WR","216","12.8","-76","12.11","-73"
"Aaron Rodgers","PIT","QB","217","17.2","-23","20.3","14"
"Denzel Boston","CLE","WR","218","13.4","-70","13.11","-63"
"Tyler Loop","BAL","K","223","","","16.7","-36"
"Green Bay Packers","GB","DEF","224","17.5","-27","18.9","-11"
"Baltimore Ravens","BAL","DEF","225","14.3","-66","13.3","-78"
"Cairo Santos","CHI","K","226","","","21.12","26"
"Eddy Pineiro","SF","K","227","","","15.7","-52"
"Cam Little","JAC","K","228","","","13.2","-82"
"Hunter Henry","NE","TE","231","12.9","-90","12.7","-92"
"Jaydon Blue","DAL","RB","232","17.7","-33","19.6","-10"
"Pittsburgh Steelers","PIT","DEF","233","15.5","-60","15.4","-61"
"Minnesota Vikings","MIN","DEF","234","14.5","-73","14.2","-76"
"New England Patriots","NE","DEF","236","13.8","-84","13.10","-82"
"Jake Bates","DET","K","238","","","14.12","-70"
"Harrison Mevis","LAR","K","239","","","14.1","-82"
"Bryce Young","CAR","QB","240","16.5","-55","19.7","-17"
"Tre Tucker","LVR","WR","241","16.6","-55","18.3","-34"
"Jonah Coleman","DEN","RB","242","12.11","-99","12.8","-102"
"Adonai Mitchell","NYJ","WR","247","17.1","-54","18.7","-36"
"Juwan Johnson","NO","TE","248","14.4","-88","15.5","-75"
"Philadelphia Eagles","PHI","DEF","249","12.4","-113","12.5","-112"
"Mike Washington Jr.","LVR","RB","250","16.2","-68","17.6","-52"
"George Holani","SEA","RB","252","23.3","15","",""
"Los Angeles Rams","LAR","DEF","254","11.5","-129","11.12","-122"
"Fernando Mendoza","LVR","QB","256","15.10","-78","17.7","-57"
"Jacoby Brissett","ARI","QB","258","18.10","-44","20.10","-20"
"Braelon Allen","NYJ","RB","259","17.9","-58","18.1","-54"
"Chigoziem Okonkwo","WAS","TE","260","13.7","-109","15.2","-90"
"Detroit Lions","DET","DEF","261","15.8","-85","15.3","-90"
"Harrison Butker","KC","K","262","","","16.8","-74"
"Los Angeles Chargers","LAC","DEF","264","15.9","-87","16.3","-81"
"New York Giants","NYG","DEF","265","20.8","-29","22.7","-6"
"Geno Smith","NYJ","QB","266","19.3","-47","21.7","-19"
"Justice Hill","BAL","RB","272","20.4","-40","22.5","-15"
"Nicholas Singleton","TEN","RB","273","16.8","-85","17.2","-79"
"Kaytron Allen","WAS","RB","274","19.4","-54","19.12","-46"
"Emmett Johnson","KC","RB","275","16.4","-91","16.1","-94"
"Jacksonville Jaguars","JAC","DEF","276","14.12","-108","14.11","-109"
"James Conner","ARI","RB","277","16.12","-85","17.8","-77"
"Sean Tucker","TB","RB","278","19.2","-60","21.3","-35"
"Tank Bigsby","PHI","RB","280","14.6","-118","15.8","-104"
"Kenyon Sadiq","NYJ","TE","281","13.9","-128","13.6","-131"
"Chicago Bears","CHI","DEF","282","20.2","-52","22.1","-29"
"Keenan Allen","UNS","WR","283","20.12","-43","22.12","-19"
"Omar Cooper Jr.","NYJ","WR","284","14.2","-126","14.5","-123"
"Calvin Ridley","TEN","WR","285","18.11","-70","21.4","-41"
"Jauan Jennings","MIN","WR","286","14.8","-122","15.12","-106"
"Buffalo Bills","BUF","DEF","288","23.8","-16","",""
"T.J. Hockenson","MIN","TE","289","15.4","-117","16.6","-103"
"Andres Borregales","NE","K","291","","","15.6","-117"
"Cleveland Browns","CLE","DEF","292","23.1","-27","",""
"Oronde Gadsden II","LAC","TE","293","11.11","-162","10.9","-176"
"Jason Myers","SEA","K","294","","","12.6","-156"
"Jalen Nailor","LVR","WR","296","15.1","-127","16.10","-106"
"Dalton Schultz","HOU","TE","297","15.7","-122","16.9","-108"
"Jerry Jeudy","CLE","WR","298","16.10","-108","17.12","-94"
"Kansas City Chiefs","KC","DEF","301","18.7","-90","19.2","-83"
"Chris Boswell","PIT","K","302","","","16.5","-117"
"Chase McLaughlin","TB","K","303","","","22.2","-49"
"Trey Benson","ARI","RB","307","21.12","-55","21.5","-62"
"Will Reichard","MIN","K","309","","","16.2","-127"
"Pat Bryant","DEN","WR","312","18.6","-102","18.11","-97"
"Kimani Vidal","LAC","RB","314","18.9","-101","19.10","-88"
"San Francisco 49ers","SF","DEF","315","20.3","-84","22.4","-59"
"Pat Freiermuth","PIT","TE","316","18.2","-110","20.6","-82"
"Jaylen Wright","MIA","RB","319","20.1","-90","20.2","-89"
"Rashod Bateman","BAL","WR","322","21.1","-81","23.2","-56"
"Kaelon Black","SF","RB","323","18.12","-107","20.4","-91"
"Nick Chubb","UNS","RB","330","22.6","-72","",""
"Emanuel Wilson","SEA","RB","336","21.11","-85","23.4","-68"
"Terrance Ferguson","LAR","TE","337","15.12","-157","17.11","-134"
"Ollie Gordon II","MIA","RB","339","24.6","-57","",""
"Kayshon Boutte","NE","WR","340","17.3","-145","18.8","-128"
"AJ Barner","SEA","TE","341","14.10","-175","14.10","-175"
"Tre Harris","LAC","WR","342","16.9","-153","18.4","-134"
"Demond Claiborne","MIN","RB","343","19.5","-122","19.9","-118"
"Cade Otton","TB","TE","344","17.8","-144","18.5","-135"
"Jordan James","SF","RB","346","20.11","-107","23.3","-79"
"Tennessee Titans","TEN","DEF","348","25.3","-57","",""
"Ray Davis","BUF","RB","352","17.4","-156","18.6","-142"
"Seth McGowan","IND","RB","364","23.5","-95","",""
"Caleb Douglas","MIA","WR","366","22.5","-109","",""
"Adam Randall","BAL","RB","369","23.7","-98","",""
"Dallas Cowboys","DAL","DEF","372","19.12","-144","22.3","-117"
"Cooper Kupp","SEA","WR","377","19.8","-153","20.7","-142"
"Tua Tagovailoa","ATL","QB","378","19.9","-153","21.8","-130"
"Jaylin Noel","HOU","WR","379","21.6","-133","22.6","-121"
"Kaleb Johnson","PIT","RB","383","22.2","-129","23.8","-111"
"Austin Ekeler","UNS","RB","388","22.8","-128","",""
"Ryan Flournoy","DAL","WR","389","18.8","-177","20.5","-156"
"Evan McPherson","CIN","K","392","","","18.10","-178"
"Zachariah Branch","ATL","WR","395","16.7","-208","17.4","-199"
"Germie Bernard","PIT","WR","401","20.6","-167","21.6","-155"
"Gunnar Helm","TEN","TE","406","18.3","-199","19.4","-186"
"Brandon Aiyuk","UNS","WR","408","21.4","-164","21.11","-157"
"Travis Hunter","JAC","WR","409","13.11","-254","14.6","-247"
"Dontayvion Wicks","PHI","WR","418","18.5","-209","19.11","-191"
"Deshaun Watson","CLE","QB","420","24.10","-134","",""
"Emari Demercado","KC","RB","421","25.4","-129","",""
"Ja'Kobi Lane","BAL","WR","424","15.11","-245","16.4","-240"
"Trevor Etienne","CAR","RB","429","22.9","-168","",""
"Darnell Mooney","NYG","WR","432","19.10","-206","20.11","-193"
"Tyreek Hill","UNS","WR","435","17.11","-232","17.9","-234"
"Greg Dulcich","MIA","TE","436","18.1","-231","20.8","-200"
"Shedeur Sanders","CLE","QB","437","20.10","-199","22.8","-177"
"Carson Beck","ARI","QB","442","22.10","-180","",""
"Colby Parkinson","LAR","TE","448","20.5","-215","21.9","-199"
"Malik Washington","MIA","WR","449","17.6","-251","19.5","-228"
"Kirk Cousins","LVR","QB","451","22.12","-187","",""
"Keon Coleman","BUF","WR","459","21.5","-214","23.1","-194"
"Jawhar Jordan","HOU","RB","467","24.3","-188","",""
"Andre Szmyt","CLE","K","471","","","24.6","-189"
"Mike Gesicki","CIN","TE","476","21.3","-233","23.6","-206"
"Isaac TeSlaa","DET","WR","480","16.1","-299","18.2","-274"
"Darren Waller","CAR","TE","494","22.3","-239","",""
"Kendrick Bourne","ARI","WR","496","24.5","-215","",""
"Darnell Washington","PIT","TE","497","25.2","-207","",""
"Elijah Sarratt","BAL","WR","507","21.7","-260","22.11","-244"
"Nathaniel Dell","HOU","WR","513","16.3","-330","17.5","-316"
"Joshua Palmer","BUF","WR","518","23.11","-243","",""
"Marvin Mims Jr.","DEN","WR","538","22.1","-285","23.7","-267"
"Chris Bell","MIA","WR","539","19.7","-316","19.3","-320"
"David Njoku","LAC","TE","540","17.12","-336","20.1","-311"
"Troy Franklin","DEN","WR","546","21.8","-298","23.5","-277"
"Sione Vaki","DET","RB","629","22.4","-373","25.3","-338"
"Marquise Brown","PHI","WR","666","25.5","-373","",""
"Elijah Arroyo","SEA","TE","674","24.9","-389","",""
"Ted Hurst","TB","WR","675","19.1","-458","19.8","-451"
"Cyrus Allen","KC","WR","676","18.4","-468","18.12","-460"
"Antonio Williams","WAS","WR","679","17.10","-477","17.10","-477"
"Jalen Tolbert","MIA","WR","682","23.4","-414","",""
"Tory Horton","SEA","WR","692","20.9","-455","21.10","-442"
"Isaiah Bond","CLE","WR","708","23.9","-435","",""
"Mason Taylor","NYJ","TE","712","21.9","-463","22.10","-450"
"Eli Stowers","PHI","TE","718","19.11","-491","20.9","-481"
"Malachi Fields","NYG","WR","723","19.6","-501","21.2","-481"
"Dawson Knox","BUF","TE","730","25.9","-433","",""
"Jalen Royals","KC","WR","737","25.8","-441","",""
"Brenen Thompson","LAC","WR","738","25.11","-439","",""
"Eli Raridon","NE","TE","740","25.1","-451","",""
"Treylon Burks","WAS","WR","744","25.12","-444","",""
"Kalif Raymond","CHI","WR","753","24.1","-476","",""
"Chimere Dike","TEN","WR","778","21.10","-528","22.9","-517"
"Theo Johnson","NYG","TE","780","21.2","-538","20.12","-540"
"Jimmy Horn Jr.","CAR","WR","784","23.2","-518","",""
"Devontez Walker","BAL","WR","790","24.11","-503","",""
"Savion Williams","GB","WR","798","24.8","-514","",""
"Nate Boerkircher","JAC","TE","829","25.10","-531","",""
"John Metchie","CAR","WR","849","23.10","-575","",""
"JuJu Smith-Schuster","NYG","WR","863","24.4","-583","",""
"Greg Dortch","DET","WR","867","25.6","-573","",""
"Odell Beckham Jr.","NYG","WR","877","24.7","-594","",""
"Jake Tonges","SF","TE","891","20.7","-656","21.1","-650"
"Theo Wease Jr.","MIA","WR","902","24.12","-614","",""
"Marlin Klein","HOU","TE","907","23.12","-631","",""
"Brock Wright","DET","TE","914","","","25.5","-621"
"Efton Chism","NE","WR","1002","22.7","-743","25.1","-713"
"Ray-Ray McCloud","CHI","WR","1058","23.6","-788","",""
"LaJohntay Wester","BAL","WR","1174","","","25.10","-876"
"Cade Klubnik","NYJ","QB","1507","25.7","-1212","",""
"Jameis Winston","NYG","QB","1531","22.11","-1268","",""
"Zach Wilson","NO","QB","1550","","","24.10","-1264"
"Davis Mills","HOU","QB","1555","24.2","-1277","",""
"Clayton Tune","GB","QB","1570","","","25.2","-1280"
"Max Duggan","UNS","QB","1579","","","23.12","-1303"
"Buffalo Bills","BUF","TQB","","3.2","0","2.11","0"
"Baltimore Ravens","BAL","TQB","","4.6","0","3.12","0"
"New England Patriots","NE","TQB","","5.10","0","5.5","0"
"Cincinnati Bengals","CIN","TQB","","5.11","0","5.7","0"
"Washington Commanders","WAS","TQB","","6.4","0","6.4","0"
"Philadelphia Eagles","PHI","TQB","","6.6","0","6.5","0"
"Chicago Bears","CHI","TQB","","7.3","0","7.8","0"
"Los Angeles Chargers","LAC","TQB","","7.9","0","7.9","0"
"Dallas Cowboys","DAL","TQB","","7.12","0","8.6","0"
"Jacksonville Jaguars","JAC","TQB","","8.8","0","9.1","0"
"New York Giants","NYG","TQB","","8.11","0","8.9","0"
"Kansas City Chiefs","KC","TQB","","9.5","0","9.9","0"
"San Francisco 49ers","SF","TQB","","9.10","0","10.6","0"
"Los Angeles Rams","LAR","TQB","","9.11","0","10.4","0"
"Denver Broncos","DEN","TQB","","10.3","0","10.8","0"
"Detroit Lions","DET","TQB","","10.11","0","11.8","0"
"Green Bay Packers","GB","TQB","","11.12","0","13.5","0"
"Tampa Bay Buccaneers","TB","TQB","","12.3","0","13.7","0"
"Minnesota Vikings","MIN","TQB","","12.6","0","14.9","0"
"New Orleans Saints","NO","TQB","","13.2","0","14.8","0"
"Seattle Seahawks","SEA","TQB","","13.5","0","15.1","0"
"Miami Dolphins","MIA","TQB","","13.12","0","15.10","0"
"Houston Texans","HOU","TQB","","14.9","0","16.11","0"
"Tennessee Titans","TEN","TQB","","14.11","0","17.1","0"
"Indianapolis Colts","IND","TQB","","15.3","0","17.3","0"
"Las Vegas Raiders","LVR","TQB","","15.10","0","17.7","0"
"Carolina Panthers","CAR","TQB","","16.5","0","19.7","0"
"Pittsburgh Steelers","PIT","TQB","","17.2","0","20.3","0"
"Arizona Cardinals","ARI","TQB","","18.10","0","20.10","0"
"New York Jets","NYJ","TQB","","19.3","0","21.7","0"
"Atlanta Falcons","ATL","TQB","","19.9","0","21.8","0"
"Cleveland Browns","CLE","TQB","","20.10","0","22.8","0"
"Dallas Cowboys","DAL","TK","","","","11.11","0"
"Los Angeles Chargers","LAC","TK","","","","12.3","0"
"Seattle Seahawks","SEA","TK","","","","12.6","0"
"Houston Texans","HOU","TK","","","","12.10","0"
"Jacksonville Jaguars","JAC","TK","","","","13.2","0"
"Los Angeles Rams","LAR","TK","","","","14.1","0"
"Detroit Lions","DET","TK","","","","14.12","0"
"New England Patriots","NE","TK","","","","15.6","0"
"San Francisco 49ers","SF","TK","","","","15.7","0"
"Minnesota Vikings","MIN","TK","","","","16.2","0"
"Pittsburgh Steelers","PIT","TK","","","","16.5","0"
"Baltimore Ravens","BAL","TK","","","","16.7","0"
"Kansas City Chiefs","KC","TK","","","","16.8","0"
"Cincinnati Bengals","CIN","TK","","","","18.10","0"
"Chicago Bears","CHI","TK","","","","21.12","0"
"Tampa Bay Buccaneers","TB","TK","","","","22.2","0"
"Nick Foles","UNS","QB","","","","24.3","0"
"Cleveland Browns","CLE","TK","","","","24.6","0"
"Rodrigo Blankenship","UNS","K","","","","24.7","0"
